Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000          -54.717      -71.014       16.297   350.2
0.0020          -54.695      -70.976       16.282   349.9
0.0040          -54.762      -70.939       16.177   347.6
0.0060          -54.857      -70.901       16.043   344.8
0.0080          -54.842      -70.865       16.023   344.3
0.0100          -54.838      -70.834       15.995   343.7
0.0120          -54.911      -70.808       15.897   341.6
0.0140          -54.956      -70.788       15.832   340.2
0.0160          -54.919      -70.772       15.853   340.7
0.0180          -54.941      -70.760       15.820   340.0
0.0200          -54.986      -70.753       15.767   338.8
0.0220          -54.946      -70.750       15.804   339.6
0.0240          -55.002      -70.748       15.746   338.4
0.0260          -55.098      -70.746       15.648   336.3
0.0280          -55.107      -70.744       15.637   336.0
0.0300          -55.063      -70.742       15.679   336.9
0.0320          -55.169      -70.739       15.570   334.6
0.0340          -55.180      -70.737       15.557   334.3
0.0360          -55.187      -70.736       15.549   334.1
0.0380          -55.040      -70.738       15.698   337.3
0.0400          -55.082      -70.739       15.657   336.5
0.0420          -55.078      -70.743       15.665   336.6
0.0440          -55.053      -70.750       15.697   337.3
0.0460          -55.067      -70.759       15.692   337.2
0.0480          -55.024      -70.771       15.747   338.4
0.0500          -55.095      -70.783       15.689   337.1
0.0520          -55.024      -70.798       15.774   339.0
0.0540          -55.072      -70.818       15.746   338.4
0.0560          -55.047      -70.843       15.796   339.5
0.0580          -55.026      -70.872       15.845   340.5
0.0600          -54.955      -70.905       15.951   342.8
0.0620          -54.931      -70.947       16.016   344.2
0.0640          -54.902      -70.991       16.089   345.7
0.0660          -54.973      -71.042       16.069   345.3
0.0680          -55.017      -71.100       16.083   345.6
0.0700          -54.961      -71.162       16.201   348.2
0.0720          -55.012      -71.229       16.217   348.5
0.0740          -54.960      -71.301       16.341   351.2
0.0760          -54.906      -71.378       16.472   354.0
0.0780          -54.967      -71.459       16.491   354.4
0.0800          -55.032      -71.542       16.510   354.8
0.0820          -55.073      -71.626       16.553   355.7
0.0840          -55.054      -71.710       16.656   357.9
0.0860          -55.078      -71.796       16.717   359.3
0.0880          -55.203      -71.877       16.673   358.3
0.0900          -55.217      -71.953       16.736   359.7
0.0920          -55.189      -72.028       16.838   361.9
0.0940          -55.260      -72.095       16.835   361.8
0.0960          -55.150      -72.156       17.006   365.5
0.0980          -55.212      -72.209       16.997   365.3
0.1000          -55.256      -72.251       16.994   365.2
0.1020          -55.292      -72.282       16.990   365.1
0.1040          -55.401      -72.304       16.903   363.2
0.1060          -55.410      -72.316       16.906   363.3
0.1080          -55.368      -72.319       16.951   364.3
0.1100          -55.358      -72.312       16.954   364.3
0.1120          -55.469      -72.295       16.826   361.6
0.1140          -55.427      -72.270       16.844   362.0
0.1160          -55.407      -72.237       16.830   361.7
0.1180          -55.460      -72.196       16.736   359.7
0.1200          -55.410      -72.150       16.740   359.7
0.1220          -55.305      -72.097       16.793   360.9
0.1240          -55.391      -72.039       16.647   357.8
0.1260          -55.450      -71.973       16.523   355.1
0.1280          -55.487      -71.903       16.417   352.8
0.1300          -55.500      -71.830       16.330   350.9
0.1320          -55.453      -71.753       16.300   350.3
0.1340          -55.476      -71.671       16.196   348.0
0.1360          -55.395      -71.588       16.193   348.0
0.1380          -55.393      -71.504       16.111   346.2
0.1400          -55.455      -71.417       15.962   343.0
0.1420          -55.476      -71.328       15.852   340.7
0.1440          -55.458      -71.236       15.778   339.1
0.1460          -55.486      -71.143       15.656   336.5
0.1480          -55.472      -71.049       15.577   334.7
0.1500          -55.463      -70.952       15.489   332.9
0.1520          -55.530      -70.852       15.322   329.3
0.1540          -55.539      -70.749       15.210   326.9
0.1560          -55.549      -70.645       15.096   324.4
0.1580          -55.586      -70.540       14.954   321.4
0.1600          -55.668      -70.432       14.765   317.3
0.1620          -55.707      -70.324       14.617   314.1
0.1640          -55.700      -70.216       14.516   311.9
0.1660          -55.727      -70.108       14.381   309.1
0.1680          -55.764      -70.004       14.241   306.0
0.1700          -55.738      -69.906       14.169   304.5
0.1720          -55.751      -69.817       14.066   302.3
0.1740          -55.598      -69.735       14.137   303.8
0.1760          -55.582      -69.663       14.081   302.6
0.1780          -55.636      -69.602       13.966   300.1
0.1800          -55.589      -69.553       13.965   300.1
